,anger,joy,fear,love,sadness
37,"[0.688, 0.949, 0.465]","[0.694, 0.796, 0.515]","[0.247, 0.0682, 0.0325]","[0.63, 0.86, 0.911]","[0.553, 0.29, 0.236]"
38,"[0.608, 0.844, 0.722]","[0.884, 0.827, 0.946]","[0.203, 0.13, 0.138]","[0.409, 0.765, 0.5]","[0.581, 0.976, 0.678]"
39,"[0.344, 0.0252, 0.245]","[0.854, 0.38, 0.777]","[0.684, 0.538, 0.353]","[0.586, 0.738, 0.561]","[0.266, 0.962, 0.0804]"
40,"[0.716, 0.535, 0.308]","[0.411, 0.595, 0.852]","[0.464, 0.754, 0.444]","[0.835, 0.746, 0.726]","[0.741, 0.787, 0.409]"
41,"[0.462, 0.935, 0.721]","[0.722, 0.641, 0.708]","[0.635, 0.889, 0.577]","[0.775, 0.745, 0.974]","[0.434, 0.201, 0.334]"
42,"[0.543, 0.596, 0.499]","[0.701, 0.692, 0.471]","[0.419, 0.934, 0.213]","[0.946, 0.284, 0.48]","[0.404, 0.21, 0.471]"
43,"[0.577, 0.876, 0.412]","[0.613, 0.623, 0.869]","[0.605, 0.666, 0.55]","[0.594, 0.558, 0.643]","[0.457, 0.188, 0.175]"
44,"[0.574, 0.95, 0.494]","[0.77, 0.565, 0.885]","[0.555, 0.076, 0.229]","[0.369, 0.624, 0.0838]","[0.443, 0.153, 0.218]"
45,"[0.592, 0.84, 0.465]","[0.737, 0.589, 0.7]","[0.471, 0.931, 0.532]","[0.369, 0.624, 0.0838]","[0.42, 0.129, 0.153]"
46,"[0.912, 0.729, 0.952]","[0.494, 0.944, 0.685]","[0.524, 0.882, 0.426]","[0.489, 0.201, 0.109]","[0.222, 0.155, 0.065]"
47,"[0.578, 0.84, 0.529]","[0.322, 0.663, 0.0794]","[0.405, 0.542, 0.0757]","[0.78, 0.762, 0.94]","[0.625, 0.803, 0.101]"
48,"[0.502, 0.859, 0.664]","[0.368, 0.717, 0.204]","[0.569, 0.954, 0.574]","[0.728, 0.773, 0.547]","[0.482, 0.229, 0.346]"
